t,commutator_norm
3.940000000000000568e+01,3.798124271086624881e-03
3.950000000000000000e+01,5.861817579029844107e-03
3.960000000000000142e+01,7.866941543382768159e-03
3.970000000000000284e+01,9.793461628299436617e-03
3.980000000000000426e+01,1.162212868191406061e-02
3.990000000000000568e+01,1.333467126750412408e-02
4.000000000000000000e+01,1.491397822564527638e-02
4.010000000000000142e+01,1.634426964326175791e-02
4.020000000000000284e+01,1.761125452129986765e-02
4.030000000000000426e+01,1.870227356566810800e-02
4.040000000000000568e+01,1.960642567471769862e-02
4.050000000000000000e+01,2.031467685944825241e-02
4.060000000000000142e+01,2.081995050813852804e-02
4.070000000000000284e+01,2.111719809351213228e-02
4.080000000000000426e+01,2.120344961595301350e-02
4.090000000000000568e+01,2.107784327875992375e-02
4.100000000000000000e+01,2.074163409893397050e-02
4.110000000000000142e+01,2.019818136746423867e-02
4.120000000000000284e+01,1.945291508440186168e-02
4.130000000000000426e+01,1.851328170409491380e-02
4.140000000000000568e+01,1.738866973267798668e-02
4.150000000000000000e+01,1.609031592122218968e-02
4.160000000000000142e+01,1.463119299183279071e-02
4.170000000000000284e+01,1.302588001849835746e-02
4.180000000000000426e+01,1.129041675780257520e-02
4.190000000000000568e+01,9.442143384978386039e-03
4.200000000000000000e+01,7.499527236609292678e-03
4.210000000000000142e+01,5.481978291105977195e-03
4.220000000000000284e+01,3.409655230618891756e-03
4.230000000000000426e+01,1.303264022149823800e-03
4.240000000000000568e+01,8.161489696268382863e-04
4.250000000000000000e+01,2.927407270681835379e-03
4.260000000000000142e+01,5.009415885960516457e-03
4.270000000000000284e+01,7.041372073599356379e-03
4.280000000000000426e+01,9.002973199047000288e-03
4.290000000000000568e+01,1.087461959227702113e-02
4.300000000000000000e+01,1.263761038121221855e-02
4.310000000000000142e+01,1.427433034465703035e-02
4.320000000000000284e+01,1.576842591776422831e-02
4.330000000000000426e+01,1.710496859144993234e-02
4.340000000000000568e+01,1.827060407312052978e-02
4.350000000000000000e+01,1.925368571835127038e-02
4.360000000000000142e+01,2.004439090030665782e-02
4.370000000000000284e+01,2.063481915418094448e-02
4.380000000000000426e+01,2.101907111603085881e-02
4.390000000000000568e+01,2.119330746727063688e-02
4.400000000000000000e+01,2.115578729587348425e-02
4.410000000000000142e+01,2.090688549098934645e-02
4.420000000000000284e+01,2.044908899717691464e-02
4.430000000000000426e+01,1.978697196567477667e-02
4.440000000000000568e+01,1.892715005099484746e-02
4.450000000000000000e+01,1.787821430948945481e-02
4.460000000000000142e+01,1.665064536035562592e-02
4.470000000000000284e+01,1.525670866675266427e-02
4.480000000000000426e+01,1.371033198334875927e-02
4.490000000000000568e+01,1.202696619480049176e-02
4.500000000000000000e+01,1.022343093562034719e-02
4.510000000000000142e+01,8.317746533948556370e-03
4.520000000000000284e+01,6.328953958390637693e-03
4.530000000000000426e+01,4.276924566954794400e-03
4.540000000000000568e+01,2.182161559009044086e-03
4.550000000000000000e+01,6.559511409260111443e-05
4.560000000000000142e+01,2.051626735521138757e-03
4.570000000000000284e+01,4.148349408971149441e-03
4.580000000000000426e+01,6.203623146388692958e-03
4.590000000000000568e+01,8.196912331972880383e-03
4.600000000000000000e+01,1.010830067907468079e-02
4.610000000000000142e+01,1.191869022715113212e-02
4.620000000000000284e+01,1.360999216227347028e-02
4.630000000000000426e+01,1.516530755457521501e-02
4.640000000000000568e+01,1.656909620677605999e-02
4.650000000000000000e+01,1.780733192669368276e-02
4.660000000000000142e+01,1.886764267232120262e-02
4.670000000000000284e+01,1.973943416918027410e-02
4.680000000000000426e+01,2.041399576481044489e-02
4.690000000000000568e+01,2.088458746272830666e-02
4.700000000000000000e+01,2.114650726624545118e-02
